order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
75948,30383,957,1,299.98,299.98
75949,30383,627,1,39.99,39.99
75950,30383,1004,1,399.98,399.98
75951,30384,365,4,239.96,59.99
75952,30385,365,2,119.98,59.99
75953,30385,1073,1,199.99,199.99
75954,30385,627,3,119.97,39.99
75955,30386,502,3,150.0,50.0
75956,30386,365,3,179.97,59.99
75957,30388,365,4,239.96,59.99
75958,30388,627,3,119.97,39.99
75959,30388,403,1,129.99,129.99
75960,30388,191,5,499.95,99.99
75961,30388,403,1,129.99,129.99
75962,30389,1014,2,99.96,49.98
75963,30390,191,1,99.99,99.99
75964,30390,1014,4,199.92,49.98
75965,30390,502,4,200.0,50.0
75966,30390,403,1,129.99,129.99
75967,30391,365,5,299.95,59.99
75968,30391,502,3,150.0,50.0
75969,30391,1073,1,199.99,199.99
75970,30391,502,1,50.0,50.0
75971,30391,957,1,299.98,299.98
75972,30393,502,5,250.0,50.0
75973,30393,276,2,63.98,31.99
75974,30393,1014,4,199.92,49.98
75975,30393,822,3,143.97,47.99
75976,30393,957,1,299.98,299.98
75977,30395,627,1,39.99,39.99
75978,30396,1014,2,99.96,49.98
75979,30396,1004,1,399.98,399.98
75980,30397,957,1,299.98,299.98
75981,30397,116,3,134.97,44.99
75982,30397,1004,1,399.98,399.98
75983,30397,191,3,299.97,99.99
75984,30397,1004,1,399.98,399.98
75985,30398,1014,5,249.9,49.98
75986,30398,403,1,129.99,129.99
75987,30398,1004,1,399.98,399.98
75988,30398,1004,1,399.98,399.98
75989,30398,365,1,59.99,59.99
75990,30399,191,4,399.96,99.99
75991,30399,502,4,200.0,50.0
75992,30399,403,1,129.99,129.99
75993,30399,403,1,129.99,129.99
75994,30399,403,1,129.99,129.99
75995,30401,957,1,299.98,299.98
75996,30401,1004,1,399.98,399.98
75997,30401,502,5,250.0,50.0
75998,30401,191,1,99.99,99.99
75999,30401,191,3,299.97,99.99
76000,30402,564,5,150.0,30.0
76001,30402,403,1,129.99,129.99
76002,30402,1004,1,399.98,399.98
76003,30402,403,1,129.99,129.99
76004,30402,403,1,129.99,129.99
76005,30404,172,3,90.0,30.0
76006,30404,403,1,129.99,129.99
76007,30405,1014,2,99.96,49.98
76008,30405,627,4,159.96,39.99
76009,30405,1004,1,399.98,399.98
76010,30405,1014,2,99.96,49.98
76011,30406,1073,1,199.99,199.99
76012,30406,1014,3,149.94,49.98
76013,30406,365,2,119.98,59.99
76014,30406,1014,1,49.98,49.98
76015,30409,365,1,59.99,59.99
76016,30410,1014,1,49.98,49.98
76017,30410,1073,1,199.99,199.99
76018,30411,1004,1,399.98,399.98
76019,30411,365,3,179.97,59.99
76020,30411,1073,1,199.99,199.99
76021,30412,502,3,150.0,50.0
76022,30412,1014,2,99.96,49.98
76023,30412,273,5,139.95,27.99
76024,30412,1073,1,199.99,199.99
76025,30412,1004,1,399.98,399.98
76026,30413,957,1,299.98,299.98
76027,30413,403,1,129.99,129.99
76028,30413,191,5,499.95,99.99
76029,30413,1004,1,399.98,399.98
76030,30413,276,5,159.95,31.99
76031,30414,957,1,299.98,299.98
76032,30414,957,1,299.98,299.98
76033,30414,1004,1,399.98,399.98
76034,30414,365,3,179.97,59.99
76035,30414,564,2,60.0,30.0
76036,30415,1004,1,399.98,399.98
76037,30416,403,1,129.99,129.99
76038,30416,191,1,99.99,99.99
76039,30416,1014,1,49.98,49.98
76040,30416,957,1,299.98,299.98
76041,30416,403,1,129.99,129.99
76042,30417,365,3,179.97,59.99
76043,30417,403,1,129.99,129.99
76044,30417,403,1,129.99,129.99
76045,30417,1004,1,399.98,399.98
76046,30418,403,1,129.99,129.99
76047,30418,1073,1,199.99,199.99
76048,30419,403,1,129.99,129.99
76049,30419,191,1,99.99,99.99
76050,30420,957,1,299.98,299.98
76051,30420,627,3,119.97,39.99
76052,30420,403,1,129.99,129.99
76053,30421,365,3,179.97,59.99
76054,30421,191,3,299.97,99.99
76055,30421,191,4,399.96,99.99
76056,30421,1073,1,199.99,199.99
76057,30421,1004,1,399.98,399.98
76058,30423,818,4,191.96,47.99
76059,30423,1014,1,49.98,49.98
76060,30423,365,4,239.96,59.99
76061,30423,926,5,79.95,15.99
76062,30423,403,1,129.99,129.99
76063,30424,627,1,39.99,39.99
76064,30424,1004,1,399.98,399.98
76065,30425,403,1,129.99,129.99
76066,30425,191,3,299.97,99.99
76067,30425,365,5,299.95,59.99
76068,30425,1014,4,199.92,49.98
76069,30427,1004,1,399.98,399.98
76070,30427,1004,1,399.98,399.98
76071,30428,403,1,129.99,129.99
76072,30428,191,5,499.95,99.99
76073,30429,1004,1,399.98,399.98
76074,30429,1014,2,99.96,49.98
76075,30429,365,2,119.98,59.99
76076,30429,365,5,299.95,59.99
76077,30430,957,1,299.98,299.98
76078,30431,957,1,299.98,299.98
76079,30434,502,1,50.0,50.0
76080,30434,1004,1,399.98,399.98
76081,30434,1014,2,99.96,49.98
76082,30434,403,1,129.99,129.99
76083,30434,957,1,299.98,299.98
76084,30435,1004,1,399.98,399.98
76085,30435,365,2,119.98,59.99
76086,30437,1004,1,399.98,399.98
76087,30437,403,1,129.99,129.99
76088,30437,1073,1,199.99,199.99
76089,30437,1014,4,199.92,49.98
76090,30437,1073,1,199.99,199.99
76091,30438,957,1,299.98,299.98
76092,30438,1014,4,199.92,49.98
76093,30439,627,5,199.95,39.99
76094,30439,1004,1,399.98,399.98
76095,30440,564,4,120.0,30.0
76096,30440,365,2,119.98,59.99
76097,30441,502,5,250.0,50.0
76098,30441,365,4,239.96,59.99
76099,30442,1004,1,399.98,399.98
76100,30442,917,5,109.95,21.99
76101,30443,1004,1,399.98,399.98
76102,30443,957,1,299.98,299.98
76103,30443,957,1,299.98,299.98
76104,30444,403,1,129.99,129.99
76105,30445,403,1,129.99,129.99
76106,30445,191,4,399.96,99.99
76107,30445,502,1,50.0,50.0
76108,30445,365,1,59.99,59.99
76109,30445,1004,1,399.98,399.98
76110,30446,1073,1,199.99,199.99
76111,30446,1014,3,149.94,49.98
76112,30446,917,3,65.97,21.99
76113,30446,191,4,399.96,99.99
76114,30447,403,1,129.99,129.99
76115,30447,1004,1,399.98,399.98
76116,30447,627,4,159.96,39.99
76117,30447,957,1,299.98,299.98
76118,30447,957,1,299.98,299.98
76119,30448,1014,3,149.94,49.98
76120,30449,403,1,129.99,129.99
76121,30450,1014,3,149.94,49.98
76122,30450,403,1,129.99,129.99
76123,30450,1073,1,199.99,199.99
76124,30450,403,1,129.99,129.99
76125,30451,957,1,299.98,299.98
76126,30451,1073,1,199.99,199.99
76127,30451,502,3,150.0,50.0
76128,30451,365,1,59.99,59.99
76129,30452,957,1,299.98,299.98
76130,30452,728,1,65.0,65.0
76131,30452,365,4,239.96,59.99
76132,30453,403,1,129.99,129.99
76133,30453,1073,1,199.99,199.99
76134,30453,957,1,299.98,299.98
76135,30453,1014,2,99.96,49.98
76136,30454,627,5,199.95,39.99
76137,30454,1004,1,399.98,399.98
76138,30454,957,1,299.98,299.98
76139,30454,191,5,499.95,99.99
76140,30454,365,1,59.99,59.99
76141,30455,502,2,100.0,50.0
76142,30456,403,1,129.99,129.99
76143,30456,365,4,239.96,59.99
76144,30456,403,1,129.99,129.99
76145,30456,1014,4,199.92,49.98
76146,30457,1073,1,199.99,199.99
76147,30458,365,4,239.96,59.99
76148,30458,403,1,129.99,129.99
76149,30459,502,4,200.0,50.0
76150,30461,1004,1,399.98,399.98
76151,30461,502,4,200.0,50.0
76152,30461,191,3,299.97,99.99
76153,30463,957,1,299.98,299.98
76154,30464,365,3,179.97,59.99
76155,30464,365,1,59.99,59.99
76156,30464,1014,4,199.92,49.98
76157,30464,1073,1,199.99,199.99
76158,30464,1014,2,99.96,49.98
76159,30465,1004,1,399.98,399.98
76160,30465,502,4,200.0,50.0
76161,30465,502,1,50.0,50.0
76162,30465,1073,1,199.99,199.99
76163,30466,1073,1,199.99,199.99
76164,30467,365,2,119.98,59.99
76165,30467,502,5,250.0,50.0
76166,30467,365,1,59.99,59.99
76167,30467,886,3,74.97,24.99
76168,30467,825,1,31.99,31.99
76169,30468,957,1,299.98,299.98
76170,30468,957,1,299.98,299.98
76171,30469,365,1,59.99,59.99
76172,30470,365,5,299.95,59.99
76173,30470,502,1,50.0,50.0
76174,30470,365,1,59.99,59.99
76175,30470,403,1,129.99,129.99
76176,30470,502,4,200.0,50.0
76177,30471,957,1,299.98,299.98
76178,30471,403,1,129.99,129.99
76179,30471,1004,1,399.98,399.98
76180,30471,365,4,239.96,59.99
76181,30472,957,1,299.98,299.98
76182,30472,627,4,159.96,39.99
76183,30473,627,2,79.98,39.99
76184,30473,1014,3,149.94,49.98
76185,30473,627,5,199.95,39.99
76186,30473,278,5,224.95,44.99
76187,30474,778,1,24.99,24.99
76188,30474,1004,1,399.98,399.98
76189,30475,502,5,250.0,50.0
76190,30477,1004,1,399.98,399.98
76191,30478,642,1,30.0,30.0
76192,30478,957,1,299.98,299.98
76193,30478,403,1,129.99,129.99
76194,30478,1004,1,399.98,399.98
76195,30478,957,1,299.98,299.98
76196,30479,1004,1,399.98,399.98
76197,30480,1073,1,199.99,199.99
76198,30480,1073,1,199.99,199.99
76199,30481,1004,1,399.98,399.98
76200,30482,502,2,100.0,50.0
76201,30482,502,4,200.0,50.0
76202,30482,1004,1,399.98,399.98
76203,30482,1014,3,149.94,49.98
76204,30482,502,1,50.0,50.0
76205,30483,1073,1,199.99,199.99
76206,30483,1073,1,199.99,199.99
76207,30484,957,1,299.98,299.98
76208,30484,502,5,250.0,50.0
76209,30484,627,4,159.96,39.99
76210,30484,403,1,129.99,129.99
76211,30484,1014,3,149.94,49.98
76212,30485,1073,1,199.99,199.99
76213,30485,365,1,59.99,59.99
76214,30485,502,5,250.0,50.0
76215,30485,365,4,239.96,59.99
76216,30486,365,3,179.97,59.99
76217,30486,403,1,129.99,129.99
76218,30486,365,2,119.98,59.99
76219,30486,1004,1,399.98,399.98
76220,30488,1073,1,199.99,199.99
76221,30488,957,1,299.98,299.98
76222,30490,1004,1,399.98,399.98
76223,30490,502,1,50.0,50.0
76224,30490,885,4,99.96,24.99
76225,30490,365,4,239.96,59.99
76226,30491,365,5,299.95,59.99
76227,30491,1004,1,399.98,399.98
76228,30491,957,1,299.98,299.98
76229,30491,957,1,299.98,299.98
76230,30492,365,3,179.97,59.99
76231,30492,365,2,119.98,59.99
76232,30492,365,1,59.99,59.99
76233,30492,1004,1,399.98,399.98
76234,30493,1004,1,399.98,399.98
76235,30493,502,2,100.0,50.0
76236,30493,403,1,129.99,129.99
76237,30494,365,2,119.98,59.99
76238,30494,365,1,59.99,59.99
76239,30494,1014,4,199.92,49.98
76240,30494,775,2,19.98,9.99
76241,30496,502,1,50.0,50.0
76242,30496,778,3,74.97,24.99
