order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
101178,40552,957,1,299.98,299.98
101179,40552,365,4,239.96,59.99
101180,40552,365,5,299.95,59.99
101181,40552,365,3,179.97,59.99
101182,40553,957,1,299.98,299.98
101183,40553,502,3,150.0,50.0
101184,40553,1014,1,49.98,49.98
101185,40555,191,3,299.97,99.99
101186,40555,403,1,129.99,129.99
101187,40555,627,2,79.98,39.99
101188,40557,627,5,199.95,39.99
101189,40557,502,4,200.0,50.0
101190,40557,502,1,50.0,50.0
101191,40557,502,2,100.0,50.0
101192,40558,365,1,59.99,59.99
101193,40559,1004,1,399.98,399.98
101194,40559,365,3,179.97,59.99
101195,40559,1004,1,399.98,399.98
101196,40559,502,1,50.0,50.0
101197,40560,957,1,299.98,299.98
101198,40560,957,1,299.98,299.98
101199,40560,627,5,199.95,39.99
101200,40561,365,5,299.95,59.99
101201,40561,502,4,200.0,50.0
101202,40562,403,1,129.99,129.99
101203,40562,502,2,100.0,50.0
101204,40563,191,1,99.99,99.99
101205,40563,924,1,15.99,15.99
101206,40564,502,4,200.0,50.0
101207,40564,1073,1,199.99,199.99
101208,40564,502,4,200.0,50.0
101209,40564,365,5,299.95,59.99
101210,40564,1073,1,199.99,199.99
101211,40565,1014,1,49.98,49.98
101212,40566,365,5,299.95,59.99
101213,40566,1014,2,99.96,49.98
101214,40567,957,1,299.98,299.98
101215,40567,1004,1,399.98,399.98
101216,40567,403,1,129.99,129.99
101217,40567,703,1,19.99,19.99
101218,40569,1014,5,249.9,49.98
101219,40569,365,1,59.99,59.99
101220,40570,502,4,200.0,50.0
101221,40571,191,2,199.98,99.99
101222,40571,1014,3,149.94,49.98
101223,40571,502,4,200.0,50.0
101224,40573,1014,5,249.9,49.98
101225,40574,1014,4,199.92,49.98
101226,40574,564,3,90.0,30.0
101227,40574,957,1,299.98,299.98
101228,40575,403,1,129.99,129.99
101229,40575,1073,1,199.99,199.99
101230,40575,1073,1,199.99,199.99
101231,40575,502,1,50.0,50.0
101232,40575,564,4,120.0,30.0
101233,40578,191,2,199.98,99.99
101234,40579,1073,1,199.99,199.99
101235,40579,957,1,299.98,299.98
101236,40579,191,3,299.97,99.99
101237,40580,365,1,59.99,59.99
101238,40580,502,1,50.0,50.0
101239,40580,403,1,129.99,129.99
101240,40580,365,5,299.95,59.99
101241,40580,365,2,119.98,59.99
101242,40581,1004,1,399.98,399.98
101243,40581,403,1,129.99,129.99
101244,40582,1014,5,249.9,49.98
